Latitude,Longitude,CustType
-6.7812764,39.1680253,personal
-6.8107874,39.2596277,personal
-6.7271309,39.2071368,personal
-6.801774785,39.25239417,personal
-6.827708946,39.23489694,personal
-6.7386498,39.213871,personal
-5.654200987,32.47182964,personal
-6.8107874,39.2596277,personal
-6.8197286,39.2729993,personal
-6.8102839,39.2435622,personal
-6.914194419,39.2532206,personal
-6.7473712,39.2816971,personal
-6.8107874,39.2596277,personal
-6.6809032,39.0699717,personal
-6.7620444,39.2418168,corporate
-6.8197286,39.2729993,personal
-6.719654352,39.19824979,personal
-6.369028,34.888822,personal
-6.8042617,39.1120744,personal
-6.8271992,39.2694153,personal
-6.8271992,39.2694153,personal
-6.8237903,39.2763922,personal
-6.6614771,39.2003461,personal
-6.8197286,39.2729993,personal
-6.757027657,39.2280285,personal
-6.687570098,39.14823704,personal
-6.8107874,39.2596277,personal
-6.786531958,39.14984788,personal
-6.7531102,39.2393128,personal
-6.687701062,39.05175341,personal
-6.796480495,39.21028241,personal
-6.8016344,39.2463691,personal
-6.7941224,39.2591168,personal
-6.7729525,39.2071306,personal
-6.723171279,39.23032165,personal
-6.7742732,39.2334023,personal
-6.702457405,39.11471844,personal
-6.8197286,39.2729993,personal
-6.7620444,39.2418168,corporate
-6.780604,39.2269701,personal
-6.763191994,39.15403807,personal
-6.425501219,34.98743782,personal
-6.7851658,39.2574864,personal
-6.7053324,39.1127352,personal
-6.8165743,39.2743355,personal
-6.8016344,39.2463691,personal
-6.9275886,39.1335549,personal
-6.8107874,39.2596277,personal
-6.740229943,39.18542373,personal
-6.8107874,39.2596277,personal
-6.7473712,39.2816971,personal
-6.811706397,39.22786695,personal
-6.8038095,39.166302,personal
-6.777350683,39.25313898,personal
-6.780199411,39.22467219,personal
-6.7271309,39.2071368,personal
-6.825024786,39.27893758,personal
-6.7925196,39.2086751,personal
-6.8038095,39.166302,personal
-6.6173653,39.1235548,personal
-6.833804232,39.25755403,personal
-6.8101188,39.2559974,personal
-6.8294781,37.6839409,personal
-3.6251732,30.585714,personal
-6.7937497,39.2417088,personal
-6.8060567,39.2419245,personal
-6.927491899,39.13355827,personal
-6.810130049,39.2274034,personal
-6.631747834,39.18848569,personal
-6.8139798,39.2395925,personal
-6.8077377,39.0818149,personal
-6.369028,34.888822,personal
-6.7414821,39.0881198,personal
-6.8081933,39.2632167,personal
-3.6251732,30.585714,personal
-6.7231168,39.2299377,personal
-6.8021897,39.2423789,personal
-6.689425,39.1466967,personal
-6.803770082,39.16566432,personal
-6.7441977,39.1266253,personal
-6.807772,39.2604369,personal
-6.8197286,39.2729993,personal
-6.8107874,39.2596277,personal
-6.6173653,39.1235548,personal
-6.7709942,39.2254079,personal
-6.7916814,39.2703838,personal
-6.762257387,39.20535455,personal
-4.747179236,36.42704523,personal
-6.8011572,39.1974667,personal
-6.661959455,39.19458926,personal
-6.6189945,39.1041406,personal
-6.8163834,39.2907344,corporate
-6.7495353,39.1509151,personal
-6.688715,39.1975233,corporate
-6.70271067,39.20360603,personal
-6.7798482,39.2162197,corporate
-6.754669,39.1402393,personal
-6.743727353,39.11775995,personal
-6.7851715,39.2579396,personal
-6.8046435,39.2577228,personal
-6.7495436,39.1616984,personal
-6.7824728,39.172857,personal
-6.6393068,39.1752344,personal
-6.69118,39.1815894,personal
-6.6162239,39.1216455,personal
-6.7138533,39.1968924,personal
-6.8279279,39.2567847,personal
-6.8282963,39.255967,personal
-6.7429547,39.1651275,personal
-6.662618744,39.19488442,personal
-6.782375155,39.23691183,personal
-6.7244458,39.1967447,personal
-6.7856763,39.0756946,personal
-6.808454839,39.21950966,personal
-6.76256,39.2149305,corporate
-6.7270554,39.2320913,personal
-6.8271992,39.2694153,personal
-6.8271992,39.2694153,personal
-6.7540928,39.1642574,personal
-6.8208156,39.2729391,personal
-6.7696132,39.2295911,personal
-6.6196144,39.1686792,personal
-6.369028,34.888822,personal
-6.723115585,39.14289327,personal
-6.7231951,39.1427885,personal
-6.7994675,39.1921612,personal
-6.779805,39.2359167,personal
-6.6676585,39.1942336,personal
-6.803843625,39.25218453,personal
-6.7460386,39.1595788,personal
-6.7551625,39.1739919,personal
-6.777189413,39.23258811,personal
-6.8147512,39.1564326,personal
-6.778919331,39.2524378,personal
-6.369028,34.888822,personal
-6.876298513,39.24588376,personal
-6.8070996,39.2604872,personal
-6.727111,39.142468,personal
-6.7696359,39.2547739,personal
-6.7517206,39.1160688,personal
-6.6537476,39.1898113,personal
-6.7829438,39.2245606,personal
-6.7869127,39.1353982,personal
-6.8092655,39.2219793,personal
-6.7892967,39.1392967,personal
-6.8725117,39.2375805,personal
-6.6984042,39.2020136,personal
-6.7880043,39.2440647,personal
-6.7418073,39.1684244,personal
-6.8107874,39.2596277,personal
-6.8304705,39.2577255,corporate
-6.759811,39.1009396,personal
-6.6051874,39.1025841,personal
-6.7817061,39.1492923,personal
-6.78946,39.272095,personal
-6.8152186,39.2334256,personal
-6.751170116,39.18801357,personal
-6.619203142,39.1184311,personal
-6.7853252,39.2124461,personal
-6.794654031,39.21700729,personal
-6.7340779,39.1386709,personal
-6.8071824,39.2615066,personal
-6.7821126,39.140059,personal
-6.7651979,39.1447543,personal
-6.8312485,39.1311862,personal
-6.7312458,39.2110369,personal
